,cycle,cpd01080,cpd00161,cpd00149,cpd00011,cpd00063,cpd00205,cpd00035,cpd00041,cpd00064,cpd00069,cpd00239,cpd00132,cpd00058,cpd00030,cpd00027,cpd04450,cpd00001,cpd00033,cpd00156,cpd00254,cpd00029,cpd00067,cpd00209,cpd00051,cpd15378,cpd00039,cpd00244,cpd01034,cpd00023,cpd00034,cpd10516,cpd00971,cpd10515,cpd04383,cpd00066,cpd00141,cpd00226,cpd00084,cpd00129,cpd00106,cpd00013,cpd01024,cpd01007,cpd00528,cpd00099,cpd00053,cpd00009,cpd00322,cpd00047,cpd00107,cpd00131,cpd00060,cpd00235,cpd00054,cpd00082,cpd00119,cpd00048,cpd00065
17,57,0.065640126,3.785209757,2499.991592,1.398099426,2499.991592,2499.991592,2.012875418,5.313562197,6.11e-05,3.828256185,2502.571529,3.758816076,2499.991854,2499.991852,3.256836261,1.568500971,2557.041909,6.064931822,3.095832705,2499.991592,16.91508773,10026.93821,2.387388038,3.803825176,0.000107,3.393703351,2499.99974,3.075089306,2.836831588,2499.991852,2499.990246,2500,2499.976384,2.199905999,3.820295626,0.320640022,0.0,3.835216193,2.752699081,0.003015961,499986.1634,5.591919376,14.69613324,2501.373185,2499.991592,1.960319439,499998.2157,3.614751389,0.00018,3.490983138,2499.99974,0.429572747,0.000186,3.85380912,0.000541,3.808429444,2500.421222,3.823879174
18,58,0.065716506,3.958703941,2499.991117,1.447271646,2499.991117,2499.991117,2.016053908,5.61769985,6.11e-05,3.999906412,2502.722846,3.926527604,2499.9914,2499.991398,3.055859953,1.490321103,2559.829519,6.38738777,3.217493477,2499.991117,17.12980886,10028.42873,2.444090554,3.973717046,0.000117,3.526525419,2499.999719,3.075089306,2.933305717,2499.991398,2499.989641,2500,2499.975109,2.103438402,3.991368003,0.350619744,0.0,4.007367716,2.837774562,0.003313876,499985.3854,6.015309271,14.66304601,2501.468627,2499.991117,2.00697524,499998.1113,3.775799263,0.000186,3.644455427,2499.999719,0.413189006,0.000186,4.027303304,0.00034,3.979254649,2500.433632,3.995867445
19,59,0.065765544,4.129425787,2499.990646,1.496982366,2499.990646,2499.990647,2.013514631,5.922835115,6.11e-05,4.168751143,2502.869444,4.091522613,2499.990951,2499.990949,2.871287791,1.41276496,2562.591765,6.705651572,3.335623568,2499.990646,17.29747444,10029.90351,2.500092086,4.140770623,0.000128,3.65531051,2499.999697,3.075089306,3.023514571,2499.990949,2499.989037,2500,2499.973854,2.011692567,4.159625291,0.384317685,0.0,4.176722764,2.918287418,0.003600764,499984.6122,6.443503598,14.62610114,2501.56518,2499.990646,2.051941015,499998.0078,3.933963146,0.000179,3.795048036,2499.999697,0.398437675,0.000186,4.19802515,0.000213,4.147318868,2500.446553,4.165102666
20,60,0.065786851,4.297515908,2499.99018,1.546920762,2499.99018,2499.990181,2.005797811,6.22930307,6.11e-05,4.334928328,2503.011651,4.253940767,2499.990507,2499.990504,2.702059276,1.335575677,2565.331565,7.020001587,3.450386856,2499.99018,17.42145827,10031.36328,2.555212647,4.305120932,0.000138,3.780115151,2499.999676,3.075089306,3.107370786,2499.990504,2499.988431,2500,2499.972616,1.924503254,4.325204758,0.421548712,0.0,4.343420025,2.994399299,0.003876582,499983.8435,6.876139458,14.58558953,2501.662855,2499.99018,2.09528746,499997.9051,4.089373029,0.000166,3.942885198,2499.999676,0.385070458,0.000186,4.366115271,0.000133,4.312759782,2500.460025,4.331721819
21,61,0.065780089,4.46310918,2499.989718,1.596807462,2499.989718,2499.989718,1.993419003,6.537435872,6.11e-05,4.498569996,2503.149032,4.413916007,2499.990066,2499.990064,2.54707854,1.258670136,2568.051853,7.330663289,3.561934802,2499.989718,17.50509749,10032.80879,2.609298419,4.466896536,0.000148,3.900984299,2499.999654,3.075089306,3.184783113,2499.990064,2499.987765,2500,2499.971454,1.842135858,4.488237695,0.460447827,0.0,4.507592315,3.066259715,0.004261633,499983.0789,7.312866778,14.54176914,2501.761661,2499.989718,2.137074762,499997.803,4.242152426,0.000182,4.088083713,2499.999654,0.372891892,0.000186,4.531708543,8.77e-05,4.475709285,2500.474788,4.49585618
22,62,0.06574479,4.62633517,2499.989258,1.646332714,2499.989258,2499.989259,1.976869326,6.847563679,6.22e-05,4.659802682,2503.281215,4.571576828,2499.989628,2499.989626,2.405244566,1.184072651,2570.755509,7.637824095,3.670408716,2499.989258,17.55176156,10034.24078,2.662226253,4.626220991,0.000158,4.017952865,2499.999632,3.073229935,3.255656725,2499.989626,2499.987095,2500,2499.970309,1.76425091,4.648849843,0.499955326,0.0,4.669367008,3.13400665,0.004610111,499982.3181,7.753349029,14.4948675,2501.861607,2499.989258,2.177353479,499997.7015,4.392417248,0.000187,4.230754914,2499.999632,0.361746665,0.000189,4.694934533,5.74e-05,4.636293906,2500.491477,4.657631763
23,63,0.065680529,4.787318564,2499.988801,1.695268017,2499.988801,2499.988802,1.956615606,7.16089635,6.36e-05,4.818748093,2503.408478,4.727047054,2499.989194,2499.989191,2.276024223,1.115265494,2573.442584,7.94164507,3.775940421,2499.988801,17.56456192,10035.66007,2.713879019,4.783212949,0.000169,4.131045191,2499.99961,3.065468574,3.319895045,2499.989191,2499.986419,2500,2499.969178,1.690537936,4.807162136,0.540052096,0.0,4.828866635,3.197767318,0.004924617,499981.5627,8.197263688,14.44508687,2501.962701,2499.988801,2.21483378,499997.6004,4.540280673,0.000188,4.371005204,2499.99961,0.351510607,0.000193,4.855917927,3.74e-05,4.794635389,2500.510044,4.81716986
24,64,0.065586893,4.946179392,2499.988346,1.743304937,2499.988346,2499.988347,1.933100338,7.477024008,6.52e-05,4.975530757,2503.531126,4.880445867,2499.988761,2499.988759,2.158360283,13.9221065,2576.115264,8.242250025,3.878661323,2499.988346,17.54670381,10037.06701,2.764050849,4.938001246,0.000179,4.240289641,2499.999587,66.87712475,3.377412626,2499.988759,2499.985739,2500,2499.968062,28.99438314,4.963300797,0.580728862,0.0,4.986214534,3.257663388,0.005234063,499980.8116,8.644303049,185.0015842,2502.064953,2499.988346,2.25046494,499997.4997,4.685869551,0.000188,4.508961035,2499.999587,0.342090998,0.000198,5.014778755,2.43e-05,4.950856048,2500.530381,4.974590521
25,65,0.065463526,5.103028733,2499.987893,1.790197653,2499.987893,2499.987894,1.906736214,7.796230248,6.74e-05,5.130258644,2503.650055,5.031883484,2499.988331,2499.988328,2.051197352,13.90058201,2578.776322,8.539752634,3.978690557,2499.987893,17.50118431,10038.46247,2.813573917,5.090690286,0.000189,4.345684891,2499.999565,66.87712475,3.428104472,2499.988328,2499.985053,2500,2499.966959,28.87500877,5.117372966,0.621963965,0.0,5.141519531,3.313805665,0.005536257,499980.0638,9.094175714,184.9467703,2502.168368,2499.987893,2.284331224,499997.3993,4.829281131,0.000188,4.644713073,2499.999565,0.33339817,0.000203,5.171628095,1.57e-05,5.105064125,2500.551775,5.130001542
26,66,0.065309592,5.25797384,2499.987443,1.835547898,2499.987443,2499.987444,1.877912714,8.11735572,6.96e-05,5.283045119,2503.766013,5.181466254,2499.987903,2499.9879,1.953829458,13.88147446,2581.425655,8.834260814,4.07618958,2499.987443,17.42940369,10039.84512,2.862741647,5.241400182,0.000199,4.447595722,2499.999542,66.87712475,3.47361187,2499.9879,2499.984362,2500,2499.96587,28.75693538,5.269493611,0.663738541,0.0,5.294893306,3.367020571,0.005821903,499979.3181,9.546605625,184.889698,2502.272954,2499.987443,2.316818346,499997.2994,4.970659853,0.000188,4.778417482,2499.999542,0.325373775,0.000209,5.326573202,1.01e-05,5.257369985,2500.573674,5.28351119
