,cycle,species,biomass
116,47,Longilinea_sp.,0.915128896
117,47,Hydrogenophaga_aromaticivorans,5.925117386
118,47,Clostridium_fungisolvens,26.24596517
119,47,Geovibrio_thiophilus,26.98071675
120,48,Mariniplasma_anaerobium,1.062643015
121,48,Geobacter_metallireducens_strain_GS-15,0.592465524
122,48,Methanosarcina_acetivorans,1.029906195
123,48,Methanobacterium_formicicum,3.311533196
124,48,Magnetospirillum_magneticum,5.63289342
125,48,Tepidimonas_charontis,1.095727009
126,48,Gudongella_oleilytica,2.127249869
127,48,Desulfomicrobium_baculatum,7.524899881
128,48,Parabacteroides_goldsteinii,14.98431124
129,48,Thermincola_ferriacetica,1.464334417
130,48,Dechloromonas_aromatica,0.892575642
131,48,Longilinea_sp.,0.906563507
132,48,Hydrogenophaga_aromaticivorans,5.718456616
133,48,Clostridium_fungisolvens,26.70278272
134,48,Geovibrio_thiophilus,26.95365775
135,49,Mariniplasma_anaerobium,1.05086334
136,49,Geobacter_metallireducens_strain_GS-15,0.563659365
137,49,Methanosarcina_acetivorans,1.045647518
138,49,Methanobacterium_formicicum,3.37985562
139,49,Magnetospirillum_magneticum,5.372477813
140,49,Tepidimonas_charontis,1.122783843
141,49,Gudongella_oleilytica,2.165601686
142,49,Desulfomicrobium_baculatum,7.584456583
143,49,Parabacteroides_goldsteinii,14.91548794
144,49,Thermincola_ferriacetica,1.428289033
145,49,Dechloromonas_aromatica,0.884306925
146,49,Longilinea_sp.,0.899717294
147,49,Hydrogenophaga_aromaticivorans,5.523954195
148,49,Clostridium_fungisolvens,27.14499059
149,49,Geovibrio_thiophilus,26.91790826
150,50,Mariniplasma_anaerobium,1.041813685
151,50,Geobacter_metallireducens_strain_GS-15,0.536091591
152,50,Methanosarcina_acetivorans,1.061728939
153,50,Methanobacterium_formicicum,3.450769938
154,50,Magnetospirillum_magneticum,5.115568311
155,50,Tepidimonas_charontis,1.151881857
156,50,Gudongella_oleilytica,2.205419858
157,50,Desulfomicrobium_baculatum,7.64302142
158,50,Parabacteroides_goldsteinii,14.84614267
159,50,Thermincola_ferriacetica,1.39492259
160,50,Dechloromonas_aromatica,0.875077243
161,50,Longilinea_sp.,0.894621849
162,50,Hydrogenophaga_aromaticivorans,5.334845651
163,50,Clostridium_fungisolvens,27.57375181
164,50,Geovibrio_thiophilus,26.87434259
165,51,Mariniplasma_anaerobium,1.03503681
166,51,Geobacter_metallireducens_strain_GS-15,0.509731801
167,51,Methanosarcina_acetivorans,1.078236525
168,51,Methanobacterium_formicicum,3.524541244
169,51,Magnetospirillum_magneticum,4.864000261
170,51,Tepidimonas_charontis,1.183215438
171,51,Gudongella_oleilytica,2.246981437
172,51,Desulfomicrobium_baculatum,7.700791473
173,51,Parabacteroides_goldsteinii,14.77811614
174,51,Thermincola_ferriacetica,1.364178674
175,51,Dechloromonas_aromatica,0.865087008
176,51,Longilinea_sp.,0.891338751
177,51,Hydrogenophaga_aromaticivorans,5.1405423
178,51,Clostridium_fungisolvens,27.99203875
179,51,Geovibrio_thiophilus,26.82616339
180,52,Mariniplasma_anaerobium,1.030184591
181,52,Geobacter_metallireducens_strain_GS-15,0.484511239
182,52,Methanosarcina_acetivorans,1.095114479
183,52,Methanobacterium_formicicum,3.600805296
184,52,Magnetospirillum_magneticum,4.618750845
185,52,Tepidimonas_charontis,1.216849098
186,52,Gudongella_oleilytica,2.290274463
187,52,Desulfomicrobium_baculatum,7.757213056
188,52,Parabacteroides_goldsteinii,14.71119175
189,52,Thermincola_ferriacetica,1.335842316
190,52,Dechloromonas_aromatica,0.85442381
191,52,Longilinea_sp.,0.889819765
192,52,Hydrogenophaga_aromaticivorans,4.942847495
193,52,Clostridium_fungisolvens,28.39925872
194,52,Geovibrio_thiophilus,26.77291308
195,53,Mariniplasma_anaerobium,1.02722561
196,53,Geobacter_metallireducens_strain_GS-15,0.460392783
197,53,Methanosarcina_acetivorans,1.112305304
198,53,Methanobacterium_formicicum,3.678594217
199,53,Magnetospirillum_magneticum,4.380710867
200,53,Tepidimonas_charontis,1.252869104
201,53,Gudongella_oleilytica,2.335287603
202,53,Desulfomicrobium_baculatum,7.812132507
203,53,Parabacteroides_goldsteinii,14.64513457
204,53,Thermincola_ferriacetica,1.30970912
205,53,Dechloromonas_aromatica,0.84318292
206,53,Longilinea_sp.,0.890032075
207,53,Hydrogenophaga_aromaticivorans,4.743319125
208,53,Clostridium_fungisolvens,28.79495219
209,53,Geovibrio_thiophilus,26.71415201
210,54,Mariniplasma_anaerobium,1.026129212
211,54,Geobacter_metallireducens_strain_GS-15,0.43734275
212,54,Methanosarcina_acetivorans,1.129740802
213,54,Methanobacterium_formicicum,3.75776447
214,54,Magnetospirillum_magneticum,4.150533279
215,54,Tepidimonas_charontis,1.291367518
216,54,Gudongella_oleilytica,2.381990187
217,54,Desulfomicrobium_baculatum,7.865428842
218,54,Parabacteroides_goldsteinii,14.57959322
219,54,Thermincola_ferriacetica,1.28558259
220,54,Dechloromonas_aromatica,0.831445415
221,54,Longilinea_sp.,0.891945057
222,54,Hydrogenophaga_aromaticivorans,4.54341672
223,54,Clostridium_fungisolvens,29.17847439
224,54,Geovibrio_thiophilus,26.64924555
225,55,Mariniplasma_anaerobium,1.023694492
226,55,Geobacter_metallireducens_strain_GS-15,0.446391391
227,55,Methanosarcina_acetivorans,1.144135369
228,55,Methanobacterium_formicicum,3.827372132
229,55,Magnetospirillum_magneticum,4.072951367
230,55,Tepidimonas_charontis,1.328703235
231,55,Gudongella_oleilytica,2.423543931
232,55,Desulfomicrobium_baculatum,7.894755255
233,55,Parabacteroides_goldsteinii,14.47351629
234,55,Thermincola_ferriacetica,1.259751003
235,55,Dechloromonas_aromatica,0.837533618
236,55,Longilinea_sp.,0.893027015
237,55,Hydrogenophaga_aromaticivorans,4.40520915
238,55,Clostridium_fungisolvens,29.46631601
239,55,Geovibrio_thiophilus,26.50309975
240,56,Mariniplasma_anaerobium,1.022716897
241,56,Geobacter_metallireducens_strain_GS-15,0.455903207
242,56,Methanosarcina_acetivorans,1.158610309
243,56,Methanobacterium_formicicum,3.897792369
244,56,Magnetospirillum_magneticum,3.998077982
245,56,Tepidimonas_charontis,1.368462419
246,56,Gudongella_oleilytica,2.466580098
247,56,Desulfomicrobium_baculatum,7.922449846
248,56,Parabacteroides_goldsteinii,14.36798592
249,56,Thermincola_ferriacetica,1.235746322
250,56,Dechloromonas_aromatica,0.843776765
251,56,Longilinea_sp.,0.895626043
252,56,Hydrogenophaga_aromaticivorans,4.273498134
253,56,Clostridium_fungisolvens,29.74062279
254,56,Geovibrio_thiophilus,26.3521509
255,57,Mariniplasma_anaerobium,1.023219122
256,57,Geobacter_metallireducens_strain_GS-15,0.465896143
257,57,Methanosarcina_acetivorans,1.173135273
258,57,Methanobacterium_formicicum,3.968953973
259,57,Magnetospirillum_magneticum,3.925799776
260,57,Tepidimonas_charontis,1.410769198
261,57,Gudongella_oleilytica,2.511131359
262,57,Desulfomicrobium_baculatum,7.948518878
263,57,Parabacteroides_goldsteinii,14.26300313
264,57,Thermincola_ferriacetica,1.21345498
265,57,Dechloromonas_aromatica,0.850176087
266,57,Longilinea_sp.,0.899754976
267,57,Hydrogenophaga_aromaticivorans,4.147891667
268,57,Clostridium_fungisolvens,30.00174634
269,57,Geovibrio_thiophilus,26.1965491
270,58,Mariniplasma_anaerobium,1.025145719
271,58,Geobacter_metallireducens_strain_GS-15,0.476388138
272,58,Methanosarcina_acetivorans,1.187679908
273,58,Methanobacterium_formicicum,4.040783545
274,58,Magnetospirillum_magneticum,3.856002725
275,58,Tepidimonas_charontis,1.455755972
276,58,Gudongella_oleilytica,2.55723073
277,58,Desulfomicrobium_baculatum,7.973010011
278,58,Parabacteroides_goldsteinii,14.15856122
279,58,Thermincola_ferriacetica,1.192773475
280,58,Dechloromonas_aromatica,0.856731831
281,58,Longilinea_sp.,0.905441635
282,58,Hydrogenophaga_aromaticivorans,4.028023646
283,58,Clostridium_fungisolvens,30.25003773
284,58,Geovibrio_thiophilus,26.03643371
285,59,Mariniplasma_anaerobium,1.028465005
286,59,Geobacter_metallireducens_strain_GS-15,0.487401887
287,59,Methanosarcina_acetivorans,1.202213591
288,59,Methanobacterium_formicicum,4.113204537
289,59,Magnetospirillum_magneticum,3.788596611
290,59,Tepidimonas_charontis,1.503563558
291,59,Gudongella_oleilytica,2.604910839
292,59,Desulfomicrobium_baculatum,7.995899734
293,59,Parabacteroides_goldsteinii,14.05464696
294,59,Thermincola_ferriacetica,1.173606847
295,59,Dechloromonas_aromatica,0.863446734
296,59,Longilinea_sp.,0.912720337
297,59,Hydrogenophaga_aromaticivorans,3.913562687
298,59,Clostridium_fungisolvens,30.48583632
299,59,Geovibrio_thiophilus,25.87192435
300,60,Mariniplasma_anaerobium,1.033218068
301,60,Geobacter_metallireducens_strain_GS-15,0.498959578
302,60,Methanosarcina_acetivorans,1.216704496
303,60,Methanobacterium_formicicum,4.186133859
304,60,Magnetospirillum_magneticum,3.723484071
305,60,Tepidimonas_charontis,1.554340273
306,60,Gudongella_oleilytica,2.654201575
307,60,Desulfomicrobium_baculatum,8.017181707
308,60,Parabacteroides_goldsteinii,13.95122538
309,60,Thermincola_ferriacetica,1.155866841
310,60,Dechloromonas_aromatica,0.870321458
311,60,Longilinea_sp.,0.921631013
312,60,Hydrogenophaga_aromaticivorans,3.804191229
313,60,Clostridium_fungisolvens,30.70943613
314,60,Geovibrio_thiophilus,25.70310432
315,61,Mariniplasma_anaerobium,1.039448031
316,61,Geobacter_metallireducens_strain_GS-15,0.511083077
317,61,Methanosarcina_acetivorans,1.231120766
318,61,Methanobacterium_formicicum,4.259485741
